X:	U:	P:	RO:	E:	Q:
1.48978	0.959455	0.867254	0.669959	1.94173	0.149658
1.49031	0.816895	0.755279	0.615233	1.84145	0.0120088
1.49089	0.803335	0.652038	0.565544	1.72941	0.199142
1.49152	0.575616	0.49423	0.48497	1.52864	0.13974
1.49226	0.375953	0.383743	0.422648	1.36192	0.115378
1.49311	0.17671	0.322723	0.383547	1.26213	0.0527866
1.49404	0.0674217	0.298263	0.366387	1.2211	0.0196131
1.49501	0.0226277	0.289749	0.360151	1.20678	0.00646823
1.496	0.00725452	0.286989	0.358097	1.20214	0.00206145
1.497	0.00228778	0.286114	0.357443	1.20067	0.000648696
1.498	0.000717954	0.28584	0.357237	1.20021	0.000203435
1.499	0.000224964	0.285754	0.357172	1.20007	6.37293e-05
1.5	7.04596e-05	0.285727	0.357152	1.20002	1.99589e-05
1.501	2.20647e-05	0.285718	0.357146	1.20001	6.25019e-06
1.502	6.9091e-06	0.285715	0.357144	1.2	1.95714e-06
1.503	2.16332e-06	0.285715	0.357143	1.2	6.1281e-07
1.504	6.77335e-07	0.285714	0.357143	1.2	1.91872e-07
1.505	2.12071e-07	0.285714	0.357143	1.2	6.00741e-08
1.506	6.63987e-08	0.285714	0.357143	1.2	1.88089e-08
1.507	2.07895e-08	0.285714	0.357143	1.2	5.88905e-09
1.508	6.50934e-09	0.285714	0.357143	1.2	1.84389e-09
1.509	2.03815e-09	0.285714	0.357143	1.2	5.7734e-10
1.51	6.38174e-10	0.285714	0.357143	1.2	1.80773e-10
1.511	1.99823e-10	0.285714	0.357143	1.2	5.66029e-11
1.512	6.25679e-11	0.285714	0.357143	1.2	1.77233e-11
1.513	1.95911e-11	0.285714	0.357143	1.2	5.54951e-12
1.514	6.1343e-12	0.285714	0.357143	1.2	1.73761e-12
1.515	1.9208e-12	0.285714	0.357143	1.2	5.44144e-13
1.516	6.01326e-13	0.285714	0.357143	1.2	1.70371e-13
