time	tau
0.0288598	0.000174021
0.0290338	0.000182972
0.0292168	0.000177718
0.0293945	0.000173999
0.0295685	0.000182096
0.0297506	0.000178195
0.0299288	0.00017388
0.0301027	0.000181299
0.030284	0.000178867
0.0304628	0.000173792
0.0306366	0.00018054
0.0308172	0.000179196
0.0309964	0.000173621
0.03117	0.000179858
0.0313499	0.000179695
0.0315295	0.000173472
0.031703	0.000179207
0.0318822	0.000181866
0.0320641	0.0001735
0.0322376	0.000178352
0.0324159	0.000183988
0.0325999	0.00017336
0.0327733	0.000177426
0.0329507	0.000186434
0.0331371	0.000173137
0.0333103	0.000176381
0.0334867	0.000189003
0.0336757	0.000172765
0.0338484	0.000175234
0.0340237	0.000189413
0.0342131	0.000173576
0.0343867	0.000174773
0.0345614	0.000187886
0.0347493	0.000174736
0.0349241	0.000174774
0.0350988	0.000186573
0.0352854	0.000175662
0.0354611	0.000174699
0.0356358	0.00018538
0.0358211	0.000176496
0.0359976	0.000174608
0.0361722	0.000184286
0.0363565	0.000177248
0.0365338	0.000174497
0.0367083	0.000183277
0.0368916	0.000177888
0.0370694	0.000174357
0.0372438	0.000182349
0.0374261	0.000178456
0.0376046	0.000174196
0.0377788	0.000181491
0.0379603	0.000178927
0.0381392	0.000174009
0.0383132	0.000180702
0.0384939	0.000179331
0.0386733	0.000173802
0.0388471	0.000179976
0.039027	0.000181184
0.0392082	0.000173761
0.039382	0.000179093
0.0395611	0.000183478
0.0397446	0.000173634
0.0399182	0.000178092
0.0400963	0.000185739
0.040282	0.00017337
0.0404554	0.000177024
0.0406324	0.000188354
0.0408208	0.000173005
0.0409938	0.000175831
0.0411696	0.000190118
0.0413597	0.000173014
0.0415327	0.000174865
0.0417076	0.000188463
0.0418961	0.000174662
0.0420707	0.000174977
0.0422457	0.000187055
0.0424328	0.00017525
0.042608	0.000174787
0.0427828	0.000185812
0.0429686	0.000176415
0.043145	0.000174752
0.0433198	0.000184647
0.0435044	0.000176873
0.0436813	0.000174551
0.0438558	0.000183608
0.0440395	0.000177817
0.0442173	0.00017446
0.0443917	0.000182615
0.0445743	0.000178112
0.0447525	0.000174226
0.0449267	0.000181741
0.0451084	0.00017886
0.0452873	0.00017408
0.0454614	0.000180893
0.0456423	0.000179022
0.0458213	0.000173816
0.0459951	0.00018016
0.0461753	0.000180621
0.0463559	0.000173748
0.0465296	0.000179293
0.0467089	0.00018302
0.0468919	0.000173652
0.0470656	0.000178274
0.0472439	0.000185127
0.047429	0.000173378
0.0476024	0.000177222
0.0477796	0.000187751
0.0479673	0.000173042
0.0481404	0.00017603
0.0483164	0.000190393
0.0485068	0.000172537
0.0486793	0.000174758
0.0488541	0.000188672
0.0490428	0.000174498
0.0492173	0.000174952
0.0493922	0.000187219
0.0495794	0.000174879
0.0497543	0.000174699
0.049929	0.000185955
0.050115	0.000176257
0.0502912	0.000174711
0.0504659	0.000184755
0.0506507	0.000176539
0.0508272	0.000174462
0.0510017	0.000183703
0.0511854	0.000177683
0.0513631	0.000174415
0.0515375	0.000182679
0.0517202	0.000177818
0.051898	0.000174143
0.0520721	0.000181798
0.0522539	0.00017875
0.0524327	0.000174034
0.0526067	0.000180918
0.0527876	0.000178771
0.0529664	0.000173742
0.0531402	0.000180182
0.0533203	0.00017975
0.0535001	0.000173608
0.0536737	0.000179395
0.0538531	0.000182481
0.0540356	0.000173607
0.0542092	0.000178358
0.0543875	0.000184249
0.0545718	0.000173313
0.0547451	0.000177369
0.0549225	0.000186978
0.0551094	0.000173047
0.0552825	0.000176189
0.0554587	0.0001894
0.0556481	0.000172562
0.0558206	0.000174974
0.0559956	0.000188958
0.0561846	0.000173877
0.0563585	0.000174757
0.0565332	0.000187438
0.0567206	0.00017463
0.0568953	0.000174612
0.0570699	0.000186129
0.057256	0.000175792
0.0574318	0.00017457
0.0576064	0.000184914
0.0577913	0.000176323
0.0579676	0.000174381
0.058142	0.000183827
0.0583258	0.000177284
0.0585031	0.000174296
0.0586774	0.000182796
0.0588602	0.000177652
0.0590379	0.000174077
0.0592119	0.000181879
0.0593938	0.000178418
0.0595722	0.000173941
0.0597462	0.000180998
0.0599272	0.00017865
0.0601058	0.000173692
0.0602795	0.000180225
0.0604597	0.000179238
0.060639	0.000173508
0.0608125	0.000179475
0.060992	0.000181319
0.0611733	0.000173472
0.0613467	0.000178547
0.0615253	0.000183401
0.0617087	0.000173293
0.061882	0.000177556
0.0620595	0.000185754
0.0622453	0.000173034
0.0624183	0.000176467
0.0625948	0.000188249
0.062783	0.000172645
0.0629557	0.000175284
0.063131	0.000189425
0.0633204	0.000172985
0.0634934	0.000174516
0.0636679	0.000187817
0.0638557	0.000174384
0.0640301	0.000174558
0.0642047	0.000186444
0.0643911	0.000175121
0.0645662	0.000174408
0.0647406	0.000185215
0.0649259	0.000176115
0.065102	0.000174334
0.0652763	0.000184075
0.0654604	0.000176711
0.0656371	0.000174169
0.0658113	0.000183041
0.0659943	0.000177507
0.0661718	0.00017405
0.0663459	0.000182071
0.0665279	0.00017794
0.0667059	0.00017385
0.0668797	0.000181195
0.0670609	0.000178561
0.0672395	0.000173686
0.0674132	0.000180367
0.0675935	0.000178855
0.0677724	0.000173453
0.0679458	0.000179627
0.0681255	0.000179716
0.0683052	0.000173298
0.0684785	0.000178869
0.0686573	0.000182485
0.0688398	0.000173315
0.0690131	0.000177846
0.069191	0.000184184
0.0693752	0.000173021
0.0695482	0.000176884
0.0697251	0.00018692
0.069912	0.000172771
0.0700848	0.000175723
0.0702605	0.000189293
0.0704498	0.000172296
0.0706221	0.000174536
0.0707966	0.000188443
0.0709851	0.000173835
0.0711589	0.000174471
0.0713334	0.00018697
0.0715203	0.000174443
0.0716948	0.000174295
0.0718691	0.000185696
0.0720548	0.000175698
0.0722305	0.000174288
0.0724048	0.000184502
0.0725893	0.000176137
0.0727654	0.000174087
0.0729395	0.000183439
0.0731229	0.000177183
0.0733001	0.000174032
0.0734741	0.000182422
0.0736566	0.000177475
0.073834	0.000173806
0.0740078	0.000181525
0.0741894	0.000178323
0.0743677	0.000173697
0.0745414	0.000180651
0.074722	0.000178493
0.0749005	0.000173446
0.075074	0.000179894
0.0752539	0.000179157
0.075433	0.000173286
0.0756063	0.000179147
0.0757855	0.000180624
0.0759661	0.000173187
0.0761393	0.000178317
0.0763176	0.000183039
0.0765006	0.000173106
0.0766737	0.000177322
0.0768511	0.000185059
0.0770361	0.000172834
0.0772089	0.000176309
0.0773853	0.000187672
0.0775729	0.000172518
0.0777454	0.000175149
0.0779206	0.000189342
0.0781099	0.000172502
0.0782824	0.000174215
0.0784567	0.000187724
0.0786444	0.000174158
0.0788185	0.000174338
0.0789929	0.000186343
0.0791792	0.000174713
0.0793539	0.000174148
0.0795281	0.000185121
0.0797132	0.000175906
0.0798891	0.000174133
0.0800632	0.000183973
0.0802472	0.000176351
0.0804236	0.00017394
0.0805975	0.000182946
0.0807804	0.000177332
0.0809578	0.000173875
0.0811317	0.000181964
0.0813136	0.000177632
0.0814912	0.000173655
0.0816649	0.000181096
0.081846	0.000178424
0.0820244	0.000173537
0.082198	0.000180253
0.0823782	0.000178604
0.0825568	0.000173292
0.0827301	0.00017952
0.0829096	0.000179219
0.0830888	0.000173125
0.083262	0.000178799
0.0834408	0.000181399
0.0836222	0.000173113
0.0837953	0.000177886
0.0839732	0.000183369
0.0841565	0.000172928
0.0843295	0.000176934
0.0845064	0.000185756
0.0846922	0.000172693
0.0848648	0.000175867
0.0850407	0.000188185
0.0852289	0.000172313
0.0854012	0.000174722
0.0855759	0.000188764
0.0857647	0.000172989
0.0859377	0.000174177
0.0861119	0.000187224
0.0862991	0.00017417
0.0864733	0.00017417
0.0866474	0.000185901
0.0868333	0.000175048
0.0870084	0.000174072
0.0871825	0.000184701
0.0873672	0.000175901
0.0875431	0.000173979
0.087717	0.000183597
0.0879006	0.000176625
0.0880773	0.000173857
0.0882511	0.000182581
0.0884337	0.0001773
0.088611	0.000173724
0.0887847	0.000181641
0.0889664	0.000177857
0.0891442	0.000173564
0.0893178	0.000180775
0.0894986	0.000178374
0.0896769	0.000173392
0.0898503	0.000179972
0.0900303	0.000178784
0.0902091	0.000173194
0.0903823	0.000179236
0.0905615	0.000179156
0.0907407	0.000172985
0.0909136	0.000178555
0.0910922	0.000181988
0.0912742	0.000173063
0.0914473	0.000177568
0.0916248	0.000183538
0.0918084	0.000172786
0.0919811	0.000176661
0.0921578	0.000186258
0.0923441	0.00017259
0.0925167	0.000175547
0.0926922	0.000188499
0.0928807	0.000172158
0.0930529	0.000174422
0.0932273	0.000188363
0.0934156	0.000173323
0.093589	0.000174144
0.0937631	0.000186874
0.09395	0.000174153
0.0941241	0.000174043
0.0942982	0.000185592
0.0944838	0.00017528
0.094659	0.000174013
0.0948331	0.000184405
0.0950175	0.000175876
0.0951933	0.00017386
0.0953672	0.000183334
0.0955505	0.000176816
0.0957274	0.000173793
0.0959011	0.000182324
0.0960835	0.000177258
0.0962607	0.00017361
0.0964343	0.000181414
0.0966158	0.000178013
0.0967938	0.000173495
0.0969673	0.000180547
0.0971478	0.000178323
0.0973261	0.000173283
0.0974994	0.000179775
0.0976792	0.000178909
0.0978581	0.000173121
0.0980312	0.000179033
0.0982103	0.00017923
0.0983895	0.000172898
0.0985624	0.000178365
0.0987407	0.000182284
0.098923	0.000173002
0.099096	0.000177351
0.0992734	0.000183698
0.0994571	0.000172692
0.0996298	0.00017646
0.0998062	0.000186537
0.0999928	0.000172505
0.100165	0.000175328
0.100341	0.000188725
0.100529	0.000172051
0.100701	0.000174208
0.100876	0.000188088
0.101064	0.000173522
0.101237	0.000174108
0.101411	0.000186635
0.101598	0.000174147
0.101772	0.000173952
0.101946	0.000185379
0.102131	0.000175411
0.102307	0.000173961
0.102481	0.000184202
0.102665	0.000175862
0.102841	0.000173776
0.103015	0.000183152
0.103198	0.000176922
0.103375	0.000173739
0.103548	0.000182146
0.103731	0.000177233
0.103908	0.000173529
0.104081	0.000181256
0.104263	0.000178098
0.104441	0.00017344
0.104614	0.00018039
0.104795	0.000178292
0.104973	0.000173205
0.105146	0.000179636
0.105326	0.000178975
0.105505	0.000173064
0.105678	0.000178893
0.105857	0.000179375
0.106036	0.000172847
0.106209	0.000178217
0.106387	0.000182381
0.106569	0.000172939
0.106742	0.00017721
0.10692	0.000183836
0.107103	0.000172632
0.107276	0.000176314
0.107452	0.000186659
0.107639	0.000172437
0.107811	0.000175185
0.107987	0.000188874
0.108176	0.000171981
0.108347	0.00017406
0.108522	0.000187905
0.108709	0.000173622
0.108883	0.000174071
0.109057	0.000186476
0.109244	0.000174147
0.109418	0.000173887
0.109592	0.000185236
0.109777	0.000175469
0.109952	0.000173915
0.110126	0.000184068
0.11031	0.000175856
0.110486	0.000173716
0.11066	0.000183029
0.110843	0.000176966
0.11102	0.000173693
0.111194	0.000182028
0.111376	0.00017722
0.111553	0.000173472
0.111726	0.000181148
0.111907	0.000178131
0.112086	0.000173394
0.112259	0.000180285
0.112439	0.000178275
0.112618	0.000173151
0.112791	0.000179541
0.11297	0.000179
0.113149	0.000173019
0.113322	0.000178798
0.113501	0.000179428
0.11368	0.000172805
0.113853	0.000178122
0.114031	0.000182413
0.114214	0.000172892
0.114387	0.000177119
0.114564	0.000183882
0.114748	0.000172588
0.11492	0.000176224
0.115097	0.000186696
0.115283	0.000172391
0.115456	0.000175097
0.115631	0.000188919
0.11582	0.000171936
0.115992	0.000173974
0.116166	0.000187801
0.116353	0.000173653
0.116527	0.000174035
0.116701	0.000186384
0.116887	0.000174132
0.117062	0.00017384
0.117235	0.000185152
0.117421	0.000175481
0.117596	0.000173876
0.11777	0.000183989
0.117954	0.00017584
0.11813	0.000173671
0.118303	0.000182956
0.118486	0.000176972
0.118663	0.000173656
0.118837	0.000181958
0.119019	0.000177202
0.119196	0.00017343
0.11937	0.000181083
0.119551	0.000178134
0.119729	0.000173358
0.119902	0.000180222
0.120082	0.000178257
0.120261	0.000173112
0.120434	0.000179482
0.120613	0.000179001
0.120792	0.000172986
0.120965	0.00017874
0.121144	0.00017939
0.121323	0.000172767
0.121496	0.000178071
0.121674	0.000182393
0.121857	0.000172861
0.122029	0.000177069
0.122207	0.000183841
0.12239	0.000172556
0.122563	0.00017618
0.122739	0.000186661
0.122926	0.000172364
0.123098	0.000175057
0.123273	0.000188869
0.123462	0.000171911
0.123634	0.000173939
0.123808	0.000187763
0.123996	0.000173624
0.124169	0.000173999
0.124343	0.000186348
0.12453	0.000174104
0.124704	0.000173805
0.124878	0.000185118
0.125063	0.000175453
0.125238	0.000173843
0.125412	0.000183956
0.125596	0.000175813
0.125772	0.00017364
0.125945	0.000182925
0.126128	0.000176946
0.126305	0.000173626
0.126479	0.000181928
0.126661	0.000177178
0.126838	0.000173402
0.127011	0.000181054
0.127192	0.000178111
0.127371	0.000173332
0.127544	0.000180194
0.127724	0.000178236
0.127902	0.000173087
0.128075	0.000179454
0.128255	0.000178982
0.128434	0.000172962
0.128607	0.000178713
0.128785	0.000179269
0.128965	0.000172732
0.129137	0.000178058
0.129316	0.000182328
0.129498	0.000172842
0.129671	0.000177056
0.129848	0.000183722
0.130031	0.000172534
0.130204	0.000176177
0.13038	0.000186561
0.130567	0.000172353
0.130739	0.000175057
0.130914	0.000188733
0.131103	0.000171903
0.131275	0.00017395
0.131449	0.000187783
0.131637	0.000173541
0.13181	0.000173962
0.131984	0.000186362
0.13217	0.000174063
0.132344	0.000173782
0.132518	0.000185129
0.132703	0.00017539
0.132879	0.000173815
0.133053	0.000183966
0.133237	0.000175776
0.133412	0.000173619
0.133586	0.000182932
0.133769	0.000176891
0.133946	0.000173601
0.134119	0.000181935
0.134301	0.000177147
0.134478	0.000173384
0.134652	0.000181058
0.134833	0.000178064
0.135011	0.000173312
0.135184	0.000180197
0.135364	0.000178213
0.135543	0.000173073
0.135716	0.000179454
0.135895	0.000178944
0.136074	0.000172947
0.136247	0.000178713
0.136426	0.000179072
0.136605	0.000172698
0.136778	0.000178079
0.136956	0.000182219
0.137138	0.000172834
0.137311	0.000177074
0.137488	0.00018353
0.137671	0.000172519
0.137844	0.000176211
0.13802	0.0001864
0.138206	0.000172356
0.138379	0.000175094
0.138554	0.000188518
0.138742	0.000171911
0.138914	0.000174001
0.139088	0.000187857
0.139276	0.000173408
0.13945	0.000173924
0.139624	0.000186421
0.13981	0.000174008
0.139984	0.000173767
0.140158	0.000185179
0.140343	0.000175292
0.140518	0.00017379
0.140692	0.000184013
0.140876	0.000175728
0.141052	0.000173606
0.141225	0.000182972
0.141408	0.000176808
0.141585	0.000173582
0.141759	0.000181974
0.141941	0.00017711
0.142118	0.000173376
0.142291	0.00018109
0.142472	0.000177995
0.14265	0.000173298
0.142824	0.000180229
0.143004	0.000178185
0.143182	0.000173069
0.143355	0.000179479
0.143534	0.000178889
0.143713	0.000172939
0.143886	0.000178739
0.144065	0.000178977
0.144244	0.000172687
0.144417	0.000178108
0.144595	0.00018197
0.144777	0.000172812
